quarter,level_1,level_2,value
1985-Q1,Total,Department Stores,na
1985-Q1,Total,Supermarkets,na
1985-Q1,Total,Mini-marts & Convenience Stores,91.4
1985-Q1,Total,Food Retailers,na
1985-Q1,Total,Motor Vehicles,25.6
1985-Q1,Total,Petrol Service Stations,67.4
1985-Q1,Total,Medical Goods & Toiletries,na
1985-Q1,Total,Wearing Apparel & Footwear,na
1985-Q1,Total,Furniture & Household Equipment,47.5
1985-Q1,Total,Recreational Goods,na
1985-Q1,Total,Watches & Jewellery,na
1985-Q1,Total,Computer & Telecommunications Equipment,na
1985-Q1,Total,Optical Goods & Books,na
1985-Q1,Total,Others,na
1985-Q2,Total,Department Stores,na
1985-Q2,Total,Supermarkets,na
1985-Q2,Total,Mini-marts & Convenience Stores,78
1985-Q2,Total,Food Retailers,na
1985-Q2,Total,Motor Vehicles,12.4
1985-Q2,Total,Petrol Service Stations,62.1
1985-Q2,Total,Medical Goods & Toiletries,na
1985-Q2,Total,Wearing Apparel & Footwear,na
1985-Q2,Total,Furniture & Household Equipment,44
1985-Q2,Total,Recreational Goods,na
1985-Q2,Total,Watches & Jewellery,na
1985-Q2,Total,Computer & Telecommunications Equipment,na
1985-Q2,Total,Optical Goods & Books,na
1985-Q2,Total,Others,na
1985-Q3,Total,Department Stores,na
1985-Q3,Total,Supermarkets,na
1985-Q3,Total,Mini-marts & Convenience Stores,83.4
1985-Q3,Total,Food Retailers,na
1985-Q3,Total,Motor Vehicles,11.3
1985-Q3,Total,Petrol Service Stations,62.8
1985-Q3,Total,Medical Goods & Toiletries,na
1985-Q3,Total,Wearing Apparel & Footwear,na
1985-Q3,Total,Furniture & Household Equipment,35.3
1985-Q3,Total,Recreational Goods,na
1985-Q3,Total,Watches & Jewellery,na
1985-Q3,Total,Computer & Telecommunications Equipment,na
1985-Q3,Total,Optical Goods & Books,na
1985-Q3,Total,Others,na
1985-Q4,Total,Department Stores,na
1985-Q4,Total,Supermarkets,na
1985-Q4,Total,Mini-marts & Convenience Stores,87.7
1985-Q4,Total,Food Retailers,na
1985-Q4,Total,Motor Vehicles,9.6
1985-Q4,Total,Petrol Service Stations,66.4
1985-Q4,Total,Medical Goods & Toiletries,na
1985-Q4,Total,Wearing Apparel & Footwear,na
1985-Q4,Total,Furniture & Household Equipment,39
1985-Q4,Total,Recreational Goods,na
1985-Q4,Total,Watches & Jewellery,na
1985-Q4,Total,Computer & Telecommunications Equipment,na
1985-Q4,Total,Optical Goods & Books,na
1985-Q4,Total,Others,na
1986-Q1,Total,Department Stores,na
1986-Q1,Total,Supermarkets,na
1986-Q1,Total,Mini-marts & Convenience Stores,95.5
1986-Q1,Total,Food Retailers,na
1986-Q1,Total,Motor Vehicles,15.1
1986-Q1,Total,Petrol Service Stations,67.1
1986-Q1,Total,Medical Goods & Toiletries,na
1986-Q1,Total,Wearing Apparel & Footwear,na
1986-Q1,Total,Furniture & Household Equipment,38.2
1986-Q1,Total,Recreational Goods,na
1986-Q1,Total,Watches & Jewellery,na
1986-Q1,Total,Computer & Telecommunications Equipment,na
1986-Q1,Total,Optical Goods & Books,na
1986-Q1,Total,Others,na
1986-Q2,Total,Department Stores,na
1986-Q2,Total,Supermarkets,na
1986-Q2,Total,Mini-marts & Convenience Stores,77
1986-Q2,Total,Food Retailers,na
1986-Q2,Total,Motor Vehicles,8.8
1986-Q2,Total,Petrol Service Stations,68.2
1986-Q2,Total,Medical Goods & Toiletries,na
1986-Q2,Total,Wearing Apparel & Footwear,na
1986-Q2,Total,Furniture & Household Equipment,33.1
1986-Q2,Total,Recreational Goods,na
1986-Q2,Total,Watches & Jewellery,na
1986-Q2,Total,Computer & Telecommunications Equipment,na
1986-Q2,Total,Optical Goods & Books,na
1986-Q2,Total,Others,na
1986-Q3,Total,Department Stores,na
1986-Q3,Total,Supermarkets,na
1986-Q3,Total,Mini-marts & Convenience Stores,79.1
1986-Q3,Total,Food Retailers,na
1986-Q3,Total,Motor Vehicles,9.6
1986-Q3,Total,Petrol Service Stations,72.2
1986-Q3,Total,Medical Goods & Toiletries,na
1986-Q3,Total,Wearing Apparel & Footwear,na
1986-Q3,Total,Furniture & Household Equipment,28.9
1986-Q3,Total,Recreational Goods,na
1986-Q3,Total,Watches & Jewellery,na
1986-Q3,Total,Computer & Telecommunications Equipment,na
1986-Q3,Total,Optical Goods & Books,na
1986-Q3,Total,Others,na
1986-Q4,Total,Department Stores,na
1986-Q4,Total,Supermarkets,na
1986-Q4,Total,Mini-marts & Convenience Stores,82.2
1986-Q4,Total,Food Retailers,na
1986-Q4,Total,Motor Vehicles,9.9
1986-Q4,Total,Petrol Service Stations,67.8
1986-Q4,Total,Medical Goods & Toiletries,na
1986-Q4,Total,Wearing Apparel & Footwear,na
1986-Q4,Total,Furniture & Household Equipment,33.2
1986-Q4,Total,Recreational Goods,na
1986-Q4,Total,Watches & Jewellery,na
1986-Q4,Total,Computer & Telecommunications Equipment,na
1986-Q4,Total,Optical Goods & Books,na
1986-Q4,Total,Others,na
1987-Q1,Total,Department Stores,na
1987-Q1,Total,Supermarkets,na
1987-Q1,Total,Mini-marts & Convenience Stores,95.1
1987-Q1,Total,Food Retailers,na
1987-Q1,Total,Motor Vehicles,13.2
1987-Q1,Total,Petrol Service Stations,68.8
1987-Q1,Total,Medical Goods & Toiletries,na
1987-Q1,Total,Wearing Apparel & Footwear,na
1987-Q1,Total,Furniture & Household Equipment,35.3
1987-Q1,Total,Recreational Goods,na
1987-Q1,Total,Watches & Jewellery,na
1987-Q1,Total,Computer & Telecommunications Equipment,na
1987-Q1,Total,Optical Goods & Books,na
1987-Q1,Total,Others,na
1987-Q2,Total,Department Stores,na
1987-Q2,Total,Supermarkets,na
1987-Q2,Total,Mini-marts & Convenience Stores,88.4
1987-Q2,Total,Food Retailers,na
1987-Q2,Total,Motor Vehicles,17.3
1987-Q2,Total,Petrol Service Stations,73.7
1987-Q2,Total,Medical Goods & Toiletries,na
1987-Q2,Total,Wearing Apparel & Footwear,na
1987-Q2,Total,Furniture & Household Equipment,36
1987-Q2,Total,Recreational Goods,na
1987-Q2,Total,Watches & Jewellery,na
1987-Q2,Total,Computer & Telecommunications Equipment,na
1987-Q2,Total,Optical Goods & Books,na
1987-Q2,Total,Others,na
1987-Q3,Total,Department Stores,na
1987-Q3,Total,Supermarkets,na
1987-Q3,Total,Mini-marts & Convenience Stores,89.6
1987-Q3,Total,Food Retailers,na
1987-Q3,Total,Motor Vehicles,19.7
1987-Q3,Total,Petrol Service Stations,76.8
1987-Q3,Total,Medical Goods & Toiletries,na
1987-Q3,Total,Wearing Apparel & Footwear,na
1987-Q3,Total,Furniture & Household Equipment,35.6
1987-Q3,Total,Recreational Goods,na
1987-Q3,Total,Watches & Jewellery,na
1987-Q3,Total,Computer & Telecommunications Equipment,na
1987-Q3,Total,Optical Goods & Books,na
1987-Q3,Total,Others,na
1987-Q4,Total,Department Stores,na
1987-Q4,Total,Supermarkets,na
1987-Q4,Total,Mini-marts & Convenience Stores,91.8
1987-Q4,Total,Food Retailers,na
1987-Q4,Total,Motor Vehicles,21.1
1987-Q4,Total,Petrol Service Stations,80
1987-Q4,Total,Medical Goods & Toiletries,na
1987-Q4,Total,Wearing Apparel & Footwear,na
1987-Q4,Total,Furniture & Household Equipment,38.1
1987-Q4,Total,Recreational Goods,na
1987-Q4,Total,Watches & Jewellery,na
1987-Q4,Total,Computer & Telecommunications Equipment,na
1987-Q4,Total,Optical Goods & Books,na
1987-Q4,Total,Others,na
1988-Q1,Total,Department Stores,na
1988-Q1,Total,Supermarkets,na
1988-Q1,Total,Mini-marts & Convenience Stores,93
1988-Q1,Total,Food Retailers,na
1988-Q1,Total,Motor Vehicles,32
1988-Q1,Total,Petrol Service Stations,75
1988-Q1,Total,Medical Goods & Toiletries,na
1988-Q1,Total,Wearing Apparel & Footwear,na
1988-Q1,Total,Furniture & Household Equipment,35.4
1988-Q1,Total,Recreational Goods,na
1988-Q1,Total,Watches & Jewellery,na
1988-Q1,Total,Computer & Telecommunications Equipment,na
1988-Q1,Total,Optical Goods & Books,na
1988-Q1,Total,Others,na
1988-Q2,Total,Department Stores,na
1988-Q2,Total,Supermarkets,na
1988-Q2,Total,Mini-marts & Convenience Stores,83.7
1988-Q2,Total,Food Retailers,na
1988-Q2,Total,Motor Vehicles,34.3
1988-Q2,Total,Petrol Service Stations,74.2
1988-Q2,Total,Medical Goods & Toiletries,na
1988-Q2,Total,Wearing Apparel & Footwear,na
1988-Q2,Total,Furniture & Household Equipment,36.3
1988-Q2,Total,Recreational Goods,na
1988-Q2,Total,Watches & Jewellery,na
1988-Q2,Total,Computer & Telecommunications Equipment,na
1988-Q2,Total,Optical Goods & Books,na
1988-Q2,Total,Others,na
1988-Q3,Total,Department Stores,na
1988-Q3,Total,Supermarkets,na
1988-Q3,Total,Mini-marts & Convenience Stores,84.1
1988-Q3,Total,Food Retailers,na
1988-Q3,Total,Motor Vehicles,39.3
1988-Q3,Total,Petrol Service Stations,76.9
1988-Q3,Total,Medical Goods & Toiletries,na
1988-Q3,Total,Wearing Apparel & Footwear,na
1988-Q3,Total,Furniture & Household Equipment,36.7
1988-Q3,Total,Recreational Goods,na
1988-Q3,Total,Watches & Jewellery,na
1988-Q3,Total,Computer & Telecommunications Equipment,na
1988-Q3,Total,Optical Goods & Books,na
1988-Q3,Total,Others,na
1988-Q4,Total,Department Stores,na
1988-Q4,Total,Supermarkets,na
1988-Q4,Total,Mini-marts & Convenience Stores,86.5
1988-Q4,Total,Food Retailers,na
1988-Q4,Total,Motor Vehicles,58.3
1988-Q4,Total,Petrol Service Stations,73.1
1988-Q4,Total,Medical Goods & Toiletries,na
1988-Q4,Total,Wearing Apparel & Footwear,na
1988-Q4,Total,Furniture & Household Equipment,39.4
1988-Q4,Total,Recreational Goods,na
1988-Q4,Total,Watches & Jewellery,na
1988-Q4,Total,Computer & Telecommunications Equipment,na
1988-Q4,Total,Optical Goods & Books,na
1988-Q4,Total,Others,na
1989-Q1,Total,Department Stores,na
1989-Q1,Total,Supermarkets,na
1989-Q1,Total,Mini-marts & Convenience Stores,84.5
1989-Q1,Total,Food Retailers,na
1989-Q1,Total,Motor Vehicles,65.2
1989-Q1,Total,Petrol Service Stations,78.3
1989-Q1,Total,Medical Goods & Toiletries,na
1989-Q1,Total,Wearing Apparel & Footwear,na
1989-Q1,Total,Furniture & Household Equipment,35.5
1989-Q1,Total,Recreational Goods,na
1989-Q1,Total,Watches & Jewellery,na
1989-Q1,Total,Computer & Telecommunications Equipment,na
1989-Q1,Total,Optical Goods & Books,na
1989-Q1,Total,Others,na
1989-Q2,Total,Department Stores,na
1989-Q2,Total,Supermarkets,na
1989-Q2,Total,Mini-marts & Convenience Stores,77.3
1989-Q2,Total,Food Retailers,na
1989-Q2,Total,Motor Vehicles,44
1989-Q2,Total,Petrol Service Stations,78.3
1989-Q2,Total,Medical Goods & Toiletries,na
1989-Q2,Total,Wearing Apparel & Footwear,na
1989-Q2,Total,Furniture & Household Equipment,37.1
1989-Q2,Total,Recreational Goods,na
1989-Q2,Total,Watches & Jewellery,na
1989-Q2,Total,Computer & Telecommunications Equipment,na
1989-Q2,Total,Optical Goods & Books,na
1989-Q2,Total,Others,na
1989-Q3,Total,Department Stores,na
1989-Q3,Total,Supermarkets,na
1989-Q3,Total,Mini-marts & Convenience Stores,78.4
1989-Q3,Total,Food Retailers,na
1989-Q3,Total,Motor Vehicles,42.7
1989-Q3,Total,Petrol Service Stations,83.3
1989-Q3,Total,Medical Goods & Toiletries,na
1989-Q3,Total,Wearing Apparel & Footwear,na
1989-Q3,Total,Furniture & Household Equipment,37.9
1989-Q3,Total,Recreational Goods,na
1989-Q3,Total,Watches & Jewellery,na
1989-Q3,Total,Computer & Telecommunications Equipment,na
1989-Q3,Total,Optical Goods & Books,na
1989-Q3,Total,Others,na
1989-Q4,Total,Department Stores,na
1989-Q4,Total,Supermarkets,na
1989-Q4,Total,Mini-marts & Convenience Stores,80.5
1989-Q4,Total,Food Retailers,na
1989-Q4,Total,Motor Vehicles,51.5
1989-Q4,Total,Petrol Service Stations,85.4
1989-Q4,Total,Medical Goods & Toiletries,na
1989-Q4,Total,Wearing Apparel & Footwear,na
1989-Q4,Total,Furniture & Household Equipment,47.5
1989-Q4,Total,Recreational Goods,na
1989-Q4,Total,Watches & Jewellery,na
1989-Q4,Total,Computer & Telecommunications Equipment,na
1989-Q4,Total,Optical Goods & Books,na
1989-Q4,Total,Others,na
1990-Q1,Total,Department Stores,na
1990-Q1,Total,Supermarkets,na
1990-Q1,Total,Mini-marts & Convenience Stores,85.7
1990-Q1,Total,Food Retailers,na
1990-Q1,Total,Motor Vehicles,70.5
1990-Q1,Total,Petrol Service Stations,85.8
1990-Q1,Total,Medical Goods & Toiletries,na
1990-Q1,Total,Wearing Apparel & Footwear,na
1990-Q1,Total,Furniture & Household Equipment,41.1
1990-Q1,Total,Recreational Goods,na
1990-Q1,Total,Watches & Jewellery,na
1990-Q1,Total,Computer & Telecommunications Equipment,na
1990-Q1,Total,Optical Goods & Books,na
1990-Q1,Total,Others,na
1990-Q2,Total,Department Stores,na
1990-Q2,Total,Supermarkets,na
1990-Q2,Total,Mini-marts & Convenience Stores,80.9
1990-Q2,Total,Food Retailers,na
1990-Q2,Total,Motor Vehicles,46.5
1990-Q2,Total,Petrol Service Stations,83.6
1990-Q2,Total,Medical Goods & Toiletries,na
1990-Q2,Total,Wearing Apparel & Footwear,na
1990-Q2,Total,Furniture & Household Equipment,40
1990-Q2,Total,Recreational Goods,na
1990-Q2,Total,Watches & Jewellery,na
1990-Q2,Total,Computer & Telecommunications Equipment,na
1990-Q2,Total,Optical Goods & Books,na
1990-Q2,Total,Others,na
1990-Q3,Total,Department Stores,na
1990-Q3,Total,Supermarkets,na
1990-Q3,Total,Mini-marts & Convenience Stores,80.9
1990-Q3,Total,Food Retailers,na
1990-Q3,Total,Motor Vehicles,29
1990-Q3,Total,Petrol Service Stations,83.4
1990-Q3,Total,Medical Goods & Toiletries,na
1990-Q3,Total,Wearing Apparel & Footwear,na
1990-Q3,Total,Furniture & Household Equipment,39.3
1990-Q3,Total,Recreational Goods,na
1990-Q3,Total,Watches & Jewellery,na
1990-Q3,Total,Computer & Telecommunications Equipment,na
1990-Q3,Total,Optical Goods & Books,na
1990-Q3,Total,Others,na
1990-Q4,Total,Department Stores,na
1990-Q4,Total,Supermarkets,na
1990-Q4,Total,Mini-marts & Convenience Stores,81.6
1990-Q4,Total,Food Retailers,na
1990-Q4,Total,Motor Vehicles,47.1
1990-Q4,Total,Petrol Service Stations,84.6
1990-Q4,Total,Medical Goods & Toiletries,na
1990-Q4,Total,Wearing Apparel & Footwear,na
1990-Q4,Total,Furniture & Household Equipment,48.8
1990-Q4,Total,Recreational Goods,na
1990-Q4,Total,Watches & Jewellery,na
1990-Q4,Total,Computer & Telecommunications Equipment,na
1990-Q4,Total,Optical Goods & Books,na
1990-Q4,Total,Others,na
1991-Q1,Total,Department Stores,na
1991-Q1,Total,Supermarkets,na
1991-Q1,Total,Mini-marts & Convenience Stores,90
1991-Q1,Total,Food Retailers,na
1991-Q1,Total,Motor Vehicles,49.5
1991-Q1,Total,Petrol Service Stations,86.7
1991-Q1,Total,Medical Goods & Toiletries,na
1991-Q1,Total,Wearing Apparel & Footwear,na
1991-Q1,Total,Furniture & Household Equipment,42.5
1991-Q1,Total,Recreational Goods,na
1991-Q1,Total,Watches & Jewellery,na
1991-Q1,Total,Computer & Telecommunications Equipment,na
1991-Q1,Total,Optical Goods & Books,na
1991-Q1,Total,Others,na
1991-Q2,Total,Department Stores,na
1991-Q2,Total,Supermarkets,na
